Service_Area,Total_Offered,Total_Sold,Success_Rate,WP_RP_Ratio,Total_WP,Total_RP,High_Margin
Mumbai,41,16,39.02439024390244,1.4693270503869276,17866.87,12159.9,6
Karnataka,42,16,38.095238095238095,1.4080232449715604,9362.2,6649.18,4
Delhi,41,17,41.46341463414634,1.3995700126727282,20232.52,14456.24,5
Andhra Pradesh,40,19,47.5,1.3856525884096602,8909.76,6430.01,6
Tamil Nadu,37,17,45.94594594594595,1.3331377371558206,12222.939999999999,9168.55,2
Madhya Pradesh,37,18,48.64864864864865,1.2893957622114987,2904.48,2252.59,7
Kolkata,41,21,51.21951219512195,1.2749501748323442,4663.5,3657.79,6
Maharashtra,38,18,47.368421052631575,1.256592126767874,11717.42,9324.76,6
Punjab,36,20,55.55555555555556,1.2162318166695394,3034.17,2494.73,5
Uttar Pradesh (West),36,20,55.55555555555556,1.2157470325276156,3660.59,3010.98,7
Rajasthan,32,18,56.25,1.2135644485807353,3651.13,3008.6,7
Gujarat,40,21,52.5,1.2109046519265037,8997.07,7430.040000000001,7
North East,35,22,62.857142857142854,1.1759518913192497,377.40999999999997,320.94,5
Assam,34,21,61.76470588235294,1.1684453810074094,1203.23,1029.77,6
Kerala,35,19,54.285714285714285,1.1394393118827653,3934.37,3452.9,6
Uttar Pradesh (East),35,21,60.0,1.1388031432835735,3914.26,3437.17,8
Orissa,37,21,56.75675675675676,1.138117961094047,1245.01,1093.92,6
Bihar,39,21,53.84615384615385,1.1308152869317496,2810.37,2485.2599999999998,8
Haryana,35,19,54.285714285714285,1.1231232318114093,1861.88,1657.77,6
Himachal Pradesh,39,18,46.15384615384615,1.0670101453423655,335.5,314.43,5
Jammu & Kashmir,34,17,50.0,1.0220281985623052,331.27,324.13,4
West Bengal,34,20,58.82352941176471,1.0216210505381957,1643.87,1609.08,5
